Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
C# Practice: Interfaces and Abstract Classes,"<p>Test your object-oriented knowledge of C# in this edition of <i>Code Challenges</i>. Instructor and .NET developer Walt Ritscher presents five hands-on, intro-level challenges focused on abstract classes and interface implementation. Each challenge examines one aspect of these topics, and after you write the code to solve the challenge, check your work against Walt’s solution.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-05-16 17:03 UTC,N/A,false,N/A,
Top 10 Skills for Robotics Engineers,"<p>Are you beginning or pivoting into a career in robotics engineering? This course can help you get started. Tech consultant Ben Sullins guides you through ten top skills you need to succeed in this field. Learn about robotics fundamentals and mechatronics, and then go over the programming languages in which you’ll need to be proficient and the control systems you’ll need to know. Develop an understanding of machine learning and a familiarity with sensors and actuators. Explore kinematics, computer vision, and human-robot interaction. Plus, learn why you’ll need strong problem-solving skills to succeed as a robotics engineer.</p>
 
<p>This course was created by Ben Sullins. We are pleased to host this training in our library.</p>",Course,2024-06-14 03:27 UTC,N/A,true,N/A,
"C Programming Basics: Flow Control, Variables, and Pointers","Released in 1973, C is still at the center of it all. In this course, get a quick introduction to the vocabulary and basics of programming in C, the language that inspired C++, Objective-C, and many others. Instructor Dan Gookin covers flow control, variables, and other basic topics, but also introduces advanced concepts such as pointers and memory allocation. Plus, he provides challenges that allow you to test your learning along the way.",Course,2024-02-22 04:42 UTC,N/A,false,N/A,
Python Data Structures: Linked Lists,"<p>In this course, get an introduction to linked lists, a popular and useful dynamic Python data structure. Instructor Ryan Mitchell covers various types of linked lists, and gives you the opportunity to practice your skills with CoderPad challenges in each chapter. Ryan starts with the basics—how Python lists are stored, the advantages and disadvantages, and how linked lists solve some of these problems. She shows you practical applications of linked lists, and how to build a linked list in Python. Then, find out how to build functionality like searching and sorting a linked list. Ryan then shows you how you can make circular linked lists, doubly-linked lists, and even orthogonal linked lists.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-03-30 07:40 UTC,N/A,false,N/A,
Advanced C++: Building Projects with CMake,"This advanced course on CMake for C++ is designed to equip experienced C++ developers with the skills required to build and manage complex projects more effectively. Explore the essentials of CMake from the ground up, gaining hands-on experience with setting up, configuring, and optimizing build environments. Join instructor Károly Nyisztor as he covers everything from integrating third-party libraries to writing cross-platform scripts, with an emphasis on automation and scalability. By the end of this course, you’ll be prepared to use CMake to streamline the build process, improve efficiency, and handle complex project structures in any professional setting.",Course,2025-12-04 14:51 UTC,N/A,false,N/A,
Nano Tips to Foster a Growth Mindset and Mental Agility with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.</p>

<p>In this installment award-winning leadership strategist and peak performance specialist Shadé Zahrai shows you how you can succeed professionally and in life using a growth mindset and mental agility.</p>

<p>Shadé explains how to master your inner dialogue by tapping into the power of “yet”, shifting your focus to possibility, and using language for growth. She covers ways to overcome obstacles through changing your perspective on failure, emphasizing growth over speed, and detaching from external approval. Plus, Shadé gives you several practical tips on how you can apply a growth mindset toward others in how you respond to compliments and how you give and receive feedback.</p>
 
<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-04-06 13:51 UTC,N/A,false,N/A,
Excel Supply Chain Analysis: Solving Transportation Problems,"<p>Microsoft Excel can be a secret advantage when it comes to solving complex supply chain challenges. Follow along with instructor Curt Frye as he shows how to use the Excel Solver add-in to minimize transportation and transshipment costs within a supply chain. Curt covers a range of topics, including how to analyze fixed costs and facility opening decisions, enforce level of service constraints, and perform scenario analysis. He also provides problem scenarios for you to solve, then goes through the solutions for each. After watching this course and working through the examples, you'll be able to describe the techniques specialized supply chain programs use to arrive at their results.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-transportation-professional-certificate?u=104"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2025-03-20 15:24 UTC,N/A,false,N/A,
Practical Python for Algorithmic Trading,"If you work in finance or have any interest in investing and trading, you know that there’s a treasure trove of financial data available to you at any moment. But how can you use all that information to your advantage? Algorithmic trading using machine learning techniques can help you make trading decisions based on data. In this course, Jesus Lopez teaches you about data preprocessing, feature engineering, and how to use advanced machine learning models to enhance your trading strategies. He shows you how to download stock market data from Yahoo Finance to be trained on machine learning models that can make predictions, and how to create investment decisions based on these predictions. Learn how to optimize your strategies, understand backtesting techniques, and interpret performance reports with confidence.",Course,2025-10-12 12:26 UTC,N/A,false,N/A,
Discovering .NET 8,"The newest version of .NET, .NET 8, was released in November 2023, and comes with a slew of new features. In this course, Microsoft MVP Christian Wenz takes you through the highlights of the latest .NET release, explaining what’s new in the .NET SDK, app frameworks like ASP.NET Core and Blazor, enhancements in C3, and more. Plus, learn what’s new for web and mobile apps, including features for minimal APIs, new endpoints for authentication, and .NET Aspire.",Course,2026-01-13 19:16 UTC,N/A,false,N/A,
Level Up: C++,"<p>C++ is one of the most popular programming languages today, and this course enables you to check how your skills measure up. Instructor Eduardo Corpeño presents a series of programming challenges to help you practice. Learn how to use GitHub Codespaces with the course, then dive into the challenges, beginning with checking for palindromes and sorting an array and continuing through to more advanced challenges like JSON file validation and the birthday problem. You can move through the challenges at your own pace, in order or searching for particular challenges you want to complete.</p> 
<p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace.</p>
<p>Each installment of the <i>Level Up</i> series offers at least 15 bite-sized opportunities to practice programming at various levels of difficulty, so you can challenge yourself and reinforce what you’ve learned. Check out the “Using GitHub Codespaces with this course” video to learn how to get a codespace up and running.</p>",Course,2025-10-19 12:47 UTC,N/A,false,N/A,
"C++ Development: Advanced Concepts, Lambda Expressions, and Best Practices","<p>Looking to enhance your understanding of C++? In this course, explore some of the more complex aspects of this core programming language. From the basics of class definition to operator overloads and move semantics, instructor Bill Weinman helps you develop the skills you need to get the most out of C++. Learn about lambda expressions, concurrency, constraints and concepts, optional and variant classes, structured bindings, and best practices for initialization. Along the way, Bill covers some of the newer features of C++ including how to use the format library, the spaceship operator, the span class, and more. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/c-plus-plus-programming-professional-certificate-by-openedg-c-plus-plus-institute"">Professional Certificate</a> from OpenEDG C++ Institute.</p>",Course,2025-11-03 03:34 UTC,N/A,false,N/A,
Asynchronous Programming in C#,"If you’re looking to incorporate asynchronous programming into your applications, this course was designed for you. Join instructor Brice Wilson as he covers the fundamentals of asynchronous programming in the C# programming language using the task-based asynchronous pattern (TAP). Explore the Task and Task<TResult> classes and how to use them to perform asynchronous work. Brice shows you the ins and outs of using continuations and the async/await keywords, handling asynchronous exceptions, canceling tasks, and reporting task progress. Upon completing this course, you’ll be ready to confidently use modern techniques and C# language features to build more responsive .NET applications.",Course,2025-01-15 16:07 UTC,N/A,false,N/A,
Introduction to PLC and Industrial Automation,"<p>Learning about Industrial automation and PLC controllers can help in providing new opportunities for engineering students, new grads, and people who already work in the field or have interest in a career shift to the industrial field. With the fast merging of automated factories, robotics, and Industry 4.0, learning new skills in this area means more opportunities.</p><p>In this short course, instructor Zara Khalil introduces you to PLC controllers and programming, and industrial automation, sharing insights and points of interest, without overwhelming you with specialized topics. Zara first covers industrial automation and its main levels. Then, she gets into the basics of PLC ladder logic programming. Finally, she demonstrates two practical demos to see how the program works.",Course,2025-07-16 12:15 UTC,N/A,false,N/A,
"Digital Technologies Case Studies: AI, IOT, Robotics, Blockchain","Emerging technologies are upending business models at a dramatic pace. It's critical for every professional to understand the core features of these technologies and how they are reshaping the structure of industries and the strategy of companies. Recognize the four key technologies at play— artificial intelligence, Internet of Things, robotics, and blockchain—and review cases studies showing how different industries have embraced these innovations to succeed and win. Instructors Anil Gupta and Haiyan Wang provide a high-level overview aimed at senior leaders and executives who want to incorporate emerging tech into their digital strategy.",Course,2025-04-11 16:15 UTC,N/A,false,N/A,
Building a Website with Node.js and Express.js,"Node.js is a major platform for the web, used by companies like Uber, Netflix, and Intuit. Express.js is a fast, minimalist framework that sits on top of Node.js and allows you to build powerful single- and multi-page web applications and websites. In this course, instructor Daniel Khan shows how to build a realistic and robust website with these technologies. Learn how to build a basic application in minutes, transform HTML into dynamic pages, leverage template engines to modularize code, add routing and business logic, handle errors, store form data, and create API endpoints for single-page applications. Along the way, Daniel helps you pick up bits and pieces about Express.js and improve your overall knowledge of how to work effectively with Node.js.",Course,2025-05-12 17:01 UTC,N/A,false,N/A,
Nano Tips to Boost Productivity with Shadé Zahrai,"Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, peak performance researcher and behavioral strategist to Fortune 500 companies Shadé Zahrai teaches tips for increasing your productivity. Shadé shows you techniques to help you start your tasks more efficiently and provides strategies to help you maintain your focus. She also shares some essential productivity principles to help you recalibrate your mindset and boost your productivity.",Course,2025-09-17 02:17 UTC,N/A,false,N/A,
AutoCAD: Tips & Tricks,"<p>Take your CAD skills up a notch. Work smarter, not harder, with AutoCAD. <>iAutoCAD Tips & Tricks</i> provides weekly tips, techniques, and workarounds to make designers like you more effective and more productive. Learn how to use AutoCAD features in exciting new ways, customize the workspace and shortcuts to save time, create more accurate drawings with the measurement and organization tools, and more. Shaun Bryant's insights give you that competitive edge you can't get from a regular training manual. Tune in every Wednesday for a new tip!</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2025-06-08 03:11 UTC,N/A,false,N/A,
