Title,Description,Url,Started On,Finished On
NeuraHome,An AI Home Automation Project where you can control your home with both gestures and your natural language.,,Mar 2025,Apr 2025
Smart Interactive Mirror,"An Intelligent, interactive mirror designed to enhance the user experience within a designated space (e.g., home, office, gym). It leverages advanced AI and computer vision to analyze the user's facial expressions and body language upon entering the room, providing personalized feedback and interactive experiences.",,Feb 2025,Mar 2025
PID controlled BLDC Motor balancing system,A system where 2 BLDC motors helps to balance that system using PID closed loop feedback controlled system.,,Jan 2024,Feb 2025
MPU6050Aries,Made a library on collecting reliable data from MPU6050 sensor with Vega Aries board or any RISC-V architecture board for the open-source community,,Apr 2025,
Micro-ROS Teleop,Text Based teleop using MicroRos with UDP(Wireless),,Apr 2025,Apr 2025
Aries-Self-balancing-bot,A self balancing bot using AriesV3 board by CDAC India and Vega Processors.,,Apr 2025,Apr 2025
ROS2 TurtleSim Tom and Jerry,A turtlesim project where a turtle names Tom chases a Turtle named Jerry creating a chasing scene.,,Apr 2025,Apr 2025
ROS2 Publisher Subscriber Launch System,First project on ROS2 Humble which is a package for publisher subscriber using launch file,,Mar 2025,Mar 2025
"Real-Time Object Detection: Phone Camera, YOLO, & ROS 2","Developed an end-to-end real-time object detection pipeline within the ROS 2 framework. Integrated a mobile phone camera stream (via ros2-android-sensor-bridge) with a YOLOv5n object detection node (yolo_ros). Engineered the pipeline to handle image format conversions (compressed to raw using image_transport). Built a custom Python node using OpenCV (cv2) and cv_bridge to subscribe to detection results and draw bounding boxes/labels directly onto the video stream for live visualization in rqt_image_view. Configured the entire system using ROS 2 launch files. This project demonstrates skills in ROS 2 system integration, computer vision, multi-node communication, and debugging complex robotics pipelines",,Apr 2025,Apr 2025
ROS 2 Simulated Object Detection with TurtleBot3 in Gazebo,"Developed and integrated a complete live object detection pipeline within the Gazebo simulation environment using ROS 2. This project involved launching a custom Gazebo world with a simulated TurtleBot3 Waffle, streaming its virtual camera feed via ROS 2, processing the stream with a YOLOv5n object detection node (yolo_ros), and visualizing the real-time detections (bounding boxes, labels) onto the video using OpenCV and CV_Bridge. The annotated video was published and viewed live using rqt_image_view, demonstrating a full perception loop from simulated sensor data to actionable visual output. The project reinforced core ROS 2 concepts, simulation mechanics, and highlighted practical considerations like computational resource management for real-time AI in robotics.",,Apr 2025,May 2025
