Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2026-01-20 05:15:18,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7419246121006415873,"Mapping with a walking robot is really tough compared to wheeled robots. The odometry is noisy, the Lidar shakes with every step, and the drift can ruin a map in seconds.""
""""
""To get this result using ROS 2 Humble, I had to dig deep into the control architecture:""
""""
""The Engineering Fixes:""
""""
""• Hardware Calibration: Wrote a custom Python script to mechanically trim every servo to the exact pulse width, fixing a 20-degree assembly error in the front-left hip.""
""""
""• Gait Synchronization: Developed a threaded teleop node to lock the walking speed to exactly 0.06 m/s—the sweet spot where the Lidar frequency matches the gait cycle.""
""""
""• Sensor Fusion: Tuned the EKF (Extended Kalman Filter) to fuse RF2O (Laser Odometry) with IMU data, stabilizing the map even when the robot slips.""
""""
""The result? Sharp walls, perfect loop closures, and a robot that finally knows where it is.""
""""
""Again thank you Scientist G for this amazing opportunity.""
""""
""Next up: Autonomous Navigation with Nav2.""
""""
""#ROS2 #Robotics #SLAM #ComputerVision #Quadruped #Python #Engineering #Lidar #AI #RoboticsDev #RaspberryPi""
""#ros2humble #slamtoolbox #foxglove #roboticsengineering #embedded #linux #autonomoussystems","","",MEMBER_NETWORK
2026-01-14 02:27:39,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7417029602180640768,"Building the Digital Twin: High-Fidelity Hospital Simulation.""
""""
""Before we can run advanced AI, we need a robust environment. Today's milestone: Bringing up the NVIDIA Nova Carter in a photorealistic Hospital environment within Isaac Sim 4.5 and teleoping the bot using ROS2(bridge)""
""""
""Running on an RTX 4060, I've optimized the rendering pipeline (DLSS, texture streaming) to handle this massive scene while maintaining a stable simulation loop.""
""""
""    Robot: Nova Carter (Reference AMR)""
""""
""    Sensors: Stereo Cameras (Hawk), IMU.""
""""
""    Bridge: Full ROS 2 Humble integration.""
""""
""The goal is Visual SLAM (VSLAM). Hospitals are notorious for being difficult environments for robots—long corridors, reflective floors, and dynamic lighting.""
""To prepare for this, I'm verifying the sensor data pipeline. The video shows the real-time Stereo Camera feed and TF tree streaming directly from the simulation into RViz2.""
""""
""Coming from Gazebo, the difference in sensor fidelity is staggering. The camera isn't just a static image; it respects lighting, exposure, and physical mounting properties. The IMU data is synchronized for VIO (Visual Inertial Odometry).""
""""
""The rig is ready. Next, we deploy Visual SLAM (RTABMap) to map this environment using only the cameras. Stay tuned""
""""
""#NVIDIA #IsaacSim #ROS2 #Robotics #Simulation #DigitalTwin #ComputerVision #VSLAM #AMR #NovaCarter #Engineering #LearnInPublic","","",MEMBER_NETWORK
2026-01-10 07:19:43,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7415653551739211776,"Remote Teleoperation and System Integration on PuppyPi via ROS 2.""
""""
""Hello World is standard, but Hello Walk is where the real engineering begins.""
""We’ve reached a major milestone with our quadruped project: Full Remote Teleoperation is live. While the hardware came with standard demos, we wanted a robust, developer-friendly architecture that allows us to control and debug the robot from anywhere.""
""""
""Here is the custom ROS 2 Humble stack we built to make it happen:""
""""
""1. The Nervous System (Tailscale & SSH) Real robots don't always stay on the local network. We integrated Tailscale to create a secure, mesh VPN. This allows us to SSH into the Pi and stream high-bandwidth data (Lidar/Video) seamlessly, treating the remote robot as if it were right next to us.""
""""
""2. The Eyes (Foxglove Studio) Debugging blind is a nightmare. We set up the Foxglove Bridge to visualize the robot's perception in real-time. Seeing the TF tree, camera stream, and Lidar scan (LD19) overlay instantly on a web dashboard has drastically speeded up our testing cycle.""
""""
""3. The Brain (Custom Launch Architecture) We moved away from scattered scripts and built a custom overlay package (my_puppy). A single master launch file now orchestrates the entire startup sequence:""
""""
""Body: Initializing the ros_robot_controller for servo/IMU communication.""
""Kinematics: Launching the gait engine.""
""Sensors: Bringing up the Lidar and optimized Camera nodes.""
""""
""4. Control (SSH Teleop) Standard teleop nodes weren't cutting it for the specific gait logic of this quadruped. We wrote a custom Python-based keyboard controller to manage state transitions (Sit/Stand/Walk) and send precise velocity commands directly to the navigation stack.""
""""
""And we used VDO ninja to stream the overview camera that is a mobile phone camera to see what the actual robot is doing. ""
""""
""Status & Next Steps: The robot is standing up and taking its first remote-controlled steps. We are currently fine-tuning the gait synchronization to smooth out the movement and eliminate micro-stutters, ensuring the walk is as fluid as the architecture behind it.""
""As well as freezing the camera frames issue.""
""""
""Next up: Sensor Fusion & SLAM. Time to make a map, ofcourse after the fine tuning and calibration. ""
""""
""#Robotics #ROS2 #Quadruped #PuppyPi #Engineering #Python #Linux #ComputerVision #Tailscale #Foxglove #EmbeddedSystems #Mechatronics #SoftwareEngineering #TechInnovation #AI #MachineLearning #OpenSource #IOT #RoboticsEngineering #AutonomousMobileRobots #AMR #SLAM #DigitalTwin #EdgeComputing #ControlSystems #FutureTech #MakerMovement #Coding #DevOps #Hardware","","",MEMBER_NETWORK
2026-01-07 03:55:33,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7414515009160052737,"Remote Systems Integration: Bridging the gap between Docker containers and real hardware.""
""""
""Just wrapped up the first milestone on a new project involving the Hiwonder PuppyPi quadruped. ""
""""
""The goal: establishing a full remote development environment to control the robot’s hardware from a different location entirely.""
""""
""The challenge wasn't just the robotics code; it was the network layer. We needed a secure, persistent bridge to the robot's internal ROS 2 nodes without being on the same local network.""
""""
""The Stack:""
""""
""    Robot: Hiwonder PuppyPi (Raspberry Pi 4)""
""""
""    Middleware: ROS 2 Humble""
""""
""    Containerization: Docker, Inc (swapping the default ROS 1 brain for a ROS 2 image)""
""""
""    Network: Tailscale (First time deploying this for a VPN mesh—game changer for remote robotics).""
""""
""The Result: Successfully verified the hardware-software bridge. I can now subscribe to live IMU/Battery telemetry and publish actuator commands (buzzer/servos) from my workstation, tunneling directly into the specific Docker container running on the robot miles away.""
""""
""Big thanks to Scientist G for presenting this opportunity and trusting me with the systems integration.""
""""
""Next up: Moving from basic drivers to full kinematic walking control and setting up a Digital Twin in Foxglove.""
""""
""#Robotics #ROS2 #SystemsIntegration #Docker #Tailscale #RemoteWork #Quadruped","","",MEMBER_NETWORK
2025-12-29 19:23:24,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7411487019018907648,"Started diving into the CARLA Simulator ecosystem today to level up my autonomous driving simulation skills. The goal was to move beyond theory and get a solid ROS 2 pipeline running with a custom vehicle stack.""
""""
""The Setup:""
""Simulator: CARLA (running a Tesla Model 3)""
""Middleware: ROS 2 Humble + ros-bridge""
""Control: Custom-built Python Teleop Node""
""""
""I spent some time configuring the ROS bridge to communicate with the simulation server. Initially, I ran into some input lag using standard terminal keys, so I wrote a custom driver script inspired by the manual control script given by carla, using Pygame and rclpy. It captures keyboard input and renders the camera feed in real-time, publishing CarlaEgoVehicleControl messages directly to the bridge. The result is zero-latency control""
""""
""It’s a simple Hello World for now even though learned a lot about the commands for carla etc, but a crucial first step before moving on to perception algorithms and other algos.""
""""
""#CARLA #ROS2 #Robotics #Simulation #AutonomousVehicles #Python #Engineering","","",MEMBER_NETWORK
2025-12-29 06:10:50,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7411287564890075137,"Usually, my LinkedIn posts are full of High end Robotics—ROS nodes, simulations, and software stacks etc. ""
""""
""But today is about the chaotic, wired-up reality of the hardware side.""
""""
""POV: You just spent 3 hours on the floor bench-testing everything at once for a stack of parallel projects.""
""""
""From ESP32s and stepper motors to cameras and water quality sensors (yes, that’s oil in the glass) and many more, I’m running a marathon of component testing. It’s funny how in robotics, you can’t just be a programmer. You have to be an electrician, a mechanic, and sometimes a plumber just to get the code to run.""
""""
""Every new sensor is a new documentation page to read and a new bug to squash. It’s messy, it’s loud, and it’s arguably the best way to learn.""
""""
""Back to debugging! 💻🔧""
""""
""#Robotics #EmbeddedSystems #ESP32 #IoT #EngineeringLife #BehindTheScenes #Hardware #LearningEveryday","","",MEMBER_NETWORK
2025-12-21 19:27:16,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408588889986174977,"A Game-Changer for ROS2 Prototyping: Universal ROS2-Mobile Sensor Bridge v2.0""
""""
""A while back, we shared v1.0 of this project by implementing it in our own way : Phone Camera + YOLO + ROS2 - Android only, front camera and a proof that a phone can be a serious perception sensor stack. ""
""""
""That was inspired by a post from Enzo Ghisoni and now its been upgraded to v2.0 which brings a lot of new features.""
""""
""Mobile Sensor Bridge for ROS2 v2.0 lets you stream sensor data from ANY smartphone directly into your ROS2 stack - with zero app installs.""
""""
""Why it's amazing:""
""""
""● iOS + Android support (finally)""
""● Back or front camera streaming (proper scene capture)""
""● GPS & IMU data as ROS topics""
""● Speech-to-text + TTS integration""
""● Just a browser URL - no native apps needed""
""""
""Perfect for:""
""""
""● Field demos & rapid prototyping""
""● Multi-sensor fusion experiments""
""● Educational workshops""
""● Testing perception algorithms with real-world data""
""""
""Implementation: ""
""""
""● Clone, build, launch""
""● Open URL on phone → Instant ROS topics""
""""
""From the maintainer VedantC2307, Vedant Choudhary, this repository is a huge contribution to the community. ""
""""
""If you're doing ROS2 perception work or need quick sensor integration for demos, this tool is a must-try. The fact that it works from any modern browser (Chrome/Brave) makes it incredibly accessible.""
""""
""GitHub:""
"" https://lnkd.in/gkFaR9p7""
""""
""#ROS2 #Robotics #Prototyping #OpenSource #ComputerVision #IoT #MobileDevelopment #SensorFusion #GitHubFind","","",MEMBER_NETWORK
2025-12-21 14:50:47,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408519311847436288,"Squeezing Every Drop of Performance from the NVIDIA Jetson Orin Nano""
""""
""Optimization isn't just about speed—it's about efficiency.""
""""
""We benchmarked the Ultra-Fast Lane Detection (UFLD) model running on ROS 2 & Python to see just how much compute we could save on the Edge. By migrating from PyTorch to TensorRT, the results were staggering.""
""""
""The Benchmark Results (Capped at 30 FPS):""
""""
""🔴 PyTorch (FP16) Latency: ~28 ms | GPU Load: ~60% Verdict: Heavy compute load but better than PyTorch (FP32) [~20% more heavier]""
""""
""🟡 TensorRT (FP32) Latency: ~23 ms | GPU Load: ~40% Verdict: Improved, but still resource-intensive.""
""""
""🟢 TensorRT (FP16) — The Sweet Spot Latency: ~19 ms | GPU Load: ~20% Verdict: Ideally balanced speed and efficiency.""
""""
""🚀 TensorRT (INT8) — Max Velocity Latency: ~17 ms | GPU Load: ~10% Verdict: Maximum speed, minimal load.""
""""
""Key Insights: ""
""🔹 Resource Liberation: Switching to TensorRT FP16 dropped GPU usage by 3x, leaving 80% of the GPU free for processes like Lidar, SLAM, and Path Planning. ""
""🔹 The Accuracy Trade-off: While INT8 is the efficiency king (only 10% load!), we observed a visual drop in lane tracking accuracy compared to FP16. ""
""🔹 Edge Mode: All metrics were pulled off using jetson_clocks, simulating maximum performance mode for deployment.""
""""
""And this is just with Python. Converting this pipeline to C++ or NVIDIA Isaac ROS could unlock even lower latencies and zero-copy transfer speeds.""
""""
""#Robotics #EdgeAI #NVIDIA #JetsonOrin #TensorRT #ROS2 #ComputerVision #DeepLearning #Optimization #Python #EmbeddedSystems #AI #Engineering YOLOvX Ultralytics NVIDIA","","",MEMBER_NETWORK
2025-12-13 08:16:51,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7405521070151196672,"Edge AI Reality Check: PyTorch vs. TensorRT on Jetson Orin Nano""
""""
""    Following up on my previous post about optimizing a Lane Detection model, I moved from the development laptop to the real hardware: the NVIDIA Jetson Orin Nano.""
""""
""    Many of you asked: ""How does the efficiency translate to the actual embedded board?""""
""""
""    I ran a head-to-head comparison between the standard PyTorch model and our optimized TensorRT Engine (FP16), monitoring real-time Process-Specific VRAM and System Load.""
""""
""📊 The Benchmark (Target: 30 FPS Cap):""
""""
""    🔴 Baseline (PyTorch):""
""""
""        FPS: Struggling at ~24 FPS""
""""
""        GPU Load: Spiking to 85%+ (Saturation)""
""""
""        VRAM Usage: ~580 MB""
""""
""        Verdict: The GPU is fully occupied, leaving zero room for other critical tasks like Radar processing or Path Planning.""
""""
""    🟢 Optimized (TensorRT FP16):""
""""
""        FPS: Rock solid 30 FPS (Software Capped)""
""""
""        GPU Load: Cruising at ~20%""
""""
""        VRAM Usage: ~215 MB (62% Reduction)""
""""
""        Verdict: We freed up 80% of the GPU resources, allowing us to run simultaneous Object Detection and State Estimation models on the same 25W board.""
""""
""    The Engineering Insight: By calculating per-process VRAM (rather than just total system memory), we confirmed that the optimization doesn't just run faster—it runs leaner. This efficiency is the key to winning endurance events where thermal throttling and power budgets are critical constraints.""
""""
""Big thanks to YOLOvX for the feature on the last update.""
""""
""#Robotics #EdgeAI #NVIDIA #JetsonOrin #TensorRT #ROS2 #ComputerVision #Optimization #EmbeddedSystems #aBAJA #Engineering Ultralytics NVIDIA OpenCV YOLOvX NVIDIA AI NVIDIA Robotics","","",MEMBER_NETWORK
2025-12-11 15:55:41,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7404911762942193664,"Honored to be featured by YOLOvX. Great to see my work on TensorRT optimization reaching the wider computer vision community. ""
""""
""#Robotics #ComputerVision #NVIDIA #AI #MachineLearning #DeepLearning #Optimization #TensorRT #YOLOvX #NVIDIAInception #TechInnovation #EngineeringExcellence #ComputerVisionCommunity","","",MEMBER_NETWORK
